Perusahaan,Sektor
PT Karya Elang Indonesia,Human Resources Management/Consulting
PT Karya Energi Indonesia,General & Wholesale Trading
PT Karya Estetika Indonesia,Grooming/Beauty/Fitness
PT Karya Gemilang Indonusa,Manufacturing/Production
PT Karya Generasi Makmur ( Surabaya ),Retail / Merchandise
PT Karya Giat Sukses Sejahtera,Property/Real Estate
PT Karya Global International,Electrical & Electronics
PT Karya Grafis Indonusa,Arts/Design/Fashion
PT Karya Graha Andara,General & Wholesale Trading
PT Karya Graha Cemerlang,General & Wholesale Trading
PT KARYA GRAHA NITYASA (Tangerang),Construction/Building/Engineering
PT Karya Guna Cipta Sejahtera,Computer / Information Technology (Software)
PT Karya Guna Sumber Perkasa,Gems/Jewellery
PT Karya Hati Gemilang,Advertising/Marketing/Promotion/PR
PT Karya Idaman Bersama,Retail/Merchandise
PT Karya Indah Abadi Terus,Others
PT Karya Indah Anugerah Tumbuh,Manufacturing/Production
PT Karya Indah Mitratama,Healthcare/Medical
PT Karya Indah Sukses (Malang),Property / Real Estate
PT Karya Indonesia Sukses,General & Wholesale Trading
PT Karya Inova Beton Indonesia,Construction/Building/Engineering
PT Karya Insan Dermawan,Education
PT Karya Inspirasi Baru,Construction/Building/Engineering
PT Karya Interarsi Utama,Architectural Services / Interior Designing
PT Karya Interchem Mitraniaga,Oil/Gas/Petroleum
PT Karya Intertek Kencana,Construction/Building/Engineering
PT Karya Inti Petrolleum,Oil / Gas / Petroleum
PT Karya Inti Sinar Pratama,Arts/Design/Fashion
PT Karya Jaya Abadi Propertindo,Property/Real Estate
PT KARYA JAYA SEMBILAN SAUDARA,General & Wholesale Trading
PT Karya Jaya Sukses Prima,Telecommunication
PT Karya Karang Asem Indah,Polymer/Plastic/Rubber/Tyres
PT Karya Karunia Indotama,Human Resources Management / Consulting
PT Karya Kasih Persada,Consulting (Business & Management)
PT Karya Kencana Sumber Sari,Food & Beverage/Catering/Restaurant
PT Karya Kinetama Exactindo,Transportation / Logistics
PT Karya Kinetama Exactindo,Others
PT Karya Kita Bandung,Printing / Publishing
PT Karya Komponen Presisi,Accounting/Audit/Tax Services
PT Karya Konstrindo Gunaestetika,Construction/Building/Engineering
PT Karya Kreasi Pesona Indonesia,Food & Beverage/Catering/Restaurant
PT Karya Kreatif Bersama,Entertainment/Media
PT Karya Kuliner Sejahtera,Food & Beverage / Catering / Restaurant
PT KARYA KUSUMA PERKASA,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Lancar Sejahtera,Construction/Building/Engineering
PT Karya Lima Utama,General & Wholesale Trading
PT Karya Lintas Nusa Sejati,Transportation / Logistics
PT Karya Logam Agung,Heavy Industrial/Machinery/Equipment
PT Karya Makmur,Property/Real Estate
PT Karya Makmur Gemilang,Transportation/Logistics
PT Karya Makmur Integra,Electrical & Electronics
PT Karya Makmur Lancar,Construction / Building / Engineering
PT Karya Makmur Manggala,Manufacturing/Production
PT Karya Makmur Mesindo,Food & Beverage/Catering/Restaurant
PT Karya Makmur Sentosa,Manufacturing/Production
PT Karya Mandiri Agrojaya,Agricultural/Plantation/Poultry/Fisheries
PT karya Mandiri bu bukan P,Food & Beverage / Catering / Restaurant
PT Karya Mandiri Erlyangga,Manufacturing/Production
PT Karya Mandiri Globalindo,Construction/Building/Engineering
PT Karya Mandiri Lestari,Retail/Merchandise
PT Karya Mandiri Marmer,Construction/Building/Engineering
PT Karya Mandiri Nusantara,Transportation / Logistics
PT Karya Mandiri Surya Sejahtera,Construction/Building/Engineering
PT Karya Mandiri(Makasar),Advertising/Marketing/Promotion/PR
PT Karya Manunggal Jati,Human Resources Management/Consulting
PT Karya Mas Sejati,General & Wholesale Trading
PT Karya Master Mandiri Indonesia,Education
PT Karya Medika Indonesia,BioTechnology/Pharmaceutical/Clinical research
PT Karya Mega Bersama,Computer/Information Technology (Software)
PT Karya Mega Kencana,Manufacturing/Production
PT Karya Megah Buton,Oil/Gas/Petroleum
PT Karya Mekar Lestari,Property / Real Estate
PT Karya Mentari Seraya,Architectural Services/Interior Designing
PT Karya Mitra Bestari,Architectural Services / Interior Designing
PT Karya Mitra Digital,Computer/Information Technology (Software)
PT Karya Mitra Maju Bersama,General & Wholesale Trading
PT Karya Mitra Seraya,Arts/Design/Fashion
PT Karya Mitra Tani,Agricultural / Plantation / Poultry / Fisheries
PT Karya Modern Jaya Cabang Bali,Retail / Merchandise
PT Karya Muda Indonesia,Arts / Design / Fashion
PT Karya Muda Kreatif,Advertising/Marketing/Promotion/PR
PT Karya Mulia Glass,Others
PT Karya Mulia Loka Persada,Transportation/Logistics
PT KARYA MULIA TRANSINDO,Others
PT Karya Multi Prima,Construction/Building/Engineering
PT Karya Multi Sejahtera,Human Resources Management / Consulting
PT Karya Murni Prima,Heavy Industrial/Machinery/Equipment
PT Karya Murni Sentosa,Automobile/Automotive Ancillary/Vehicle
PT Karya Nadiso Utama,BioTechnology / Pharmaceutical / Clinical research
PT Karya Naptha Belide,BioTechnology / Pharmaceutical / Clinical research
PT Karya Niaga Abadi,Transportation/Logistics
PT Karya Niaga Utama,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Nireko Warga Nusa,Environment/Health/Safety
PT Karya Pacific Shipping,Transportation/Logistics
PT Karya Pak Oles Tokcer (Bali),Manufacturing/Production
PT Karya Palewagau Sejahtera,Construction/Building/Engineering
PT Karya Palmalindo Abadi,Construction / Building / Engineering
PT Karya Pangan Jaya,Consumer Products / FMCG
PT Karya Pangan Sejahtera,Agricultural/Plantation/Poultry/Fisheries
PT Karya Para Mandiri,Construction / Building / Engineering
PT Karya Parkindo Sinergi,Security/Law Enforcement
PT Karya Paten Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Perdana,Construction / Building / Engineering
PT Karya Perdana Utama,Hotel/Hospitality
PT Karya Persada Mandiri,Manufacturing/Production
PT Karya Plasindo,Heavy Industrial/Machinery/Equipment
PT Karya Pratama,General & Wholesale Trading
PT Karya Pratama Mandiri,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Premium Indonesia,Advertising/Marketing/Promotion/PR
PT Karya Prima Anugerah Mandiri,General & Wholesale Trading
PT Karya Prima Lestari,Property / Real Estate
PT Karya Prima Sentosa Abadi,Wood/Fibre/Paper
PT Karya Prima Unggulan,Food & Beverage/Catering/Restaurant
PT KARYA PRIMA USAHATAMA,Human Resources Management/Consulting
PT Karya Propertindo Konsultan,Entertainment/Media
PT Karya Putra Borneo,Mining
PT Karya Putra Grafika,Hotel/Hospitality
PT Karya Putra Lokatirta Mandiri,Transportation/Logistics
PT Karya Putra Mulia ( KPM),Consulting (Business & Management)
PT Karya Putra Nusantara Perkasa,BioTechnology/Pharmaceutical/Clinical research
PT Karya Putra Pembangunan,Food & Beverage / Catering / Restaurant
PT Karya Putra Sangkuriang,Manufacturing/Production
PT Karya Putra Sukses,Manufacturing / Production
PT Karya Putra Surya Gemilang ( Bandung Branch ),Banking / Financial Services
PT Karya Putra Surya Gemilang (KPSG) Malang,Human Resources Management / Consulting
PT Karya Putra Surya Gemilang (KPSG) Medan,Human Resources Management / Consulting
PT Karya Putra Surya Gemilang (KPSG) Samarinda,Human Resources Management / Consulting
PT Karya Putra Surya Gemilang (KPSG) Semarang,Human Resources Management / Consulting
PT Karya Putra Surya Gemilang (Makassar),Human Resources Management/Consulting
PT Karya Putra Surya Gemilang (Surabaya),Human Resources Management / Consulting
PT Karya Rakyat Makmur,General & Wholesale Trading
PT Karya Rezeki Panca Mulia,Construction / Building / Engineering
PT Karya Sarana Global,Construction / Building / Engineering
PT Karya Satria,Advertising/Marketing/Promotion/PR
PT Karya Satya Utama Internasional,General & Wholesale Trading
PT Karya Sehati Mandiri,Manufacturing/Production
PT KARYA SEJAHTERA ABADITAMA,General & Wholesale Trading
PT Karya Sejahtera Pratama,Others
PT Karya Sejati,Manufacturing / Production
PT Karya Sejati Ekspres,Transportation/Logistics
PT Karya Sejati Makmur,Human Resources Management/Consulting
PT Karya Sejati Makmur Jakarta,Repair & Maintenance Services
PT Karya Sejati Readymix,Construction/Building/Engineering
PT Karya Semangat Mandiri,Agricultural/Plantation/Poultry/Fisheries
PT Karya Semesta,General & Wholesale Trading
PT Karya Semesta Investama,Automobile/Automotive Ancillary/Vehicle
Pt Karya Sempurna Abadi,General & Wholesale Trading
PT Karya Setiakawan Utama,Construction/Building/Engineering
PT Karya Setiakawan Utama (Nganjuk),Construction/Building/Engineering
PT Karya Silix Indonesia,General & Wholesale Trading
PT Karya Sinar Harmonis,Property/Real Estate
PT Karya Suka Abadi Cabang Lampung,Manufacturing / Production
PT Karya Sukses Persada,Transportation / Logistics
PT Karya Sukses Sejahtera(BJ-Consultant),Consumer Products / FMCG
PT Karya Sukses Sejati,Manufacturing/Production
PT Karya Sukses UtamaPrima,Agricultural/Plantation/Poultry/Fisheries
PT Karya sumber daya (Batam),Manufacturing / Production
PT Karya Sumiden Indonesia,Manufacturing/Production
PT Karya Sutarindo,Wood/Fibre/Paper
PT Karya Tama Jaya,Construction / Building / Engineering
