Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2016,Dalam,2,SMA NEGERI 75,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 76,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 76,IPS,79
Jakarta,2016,Dalam,2,SMA NEGERI 77,IPA,60
Jakarta,2016,Dalam,2,SMA NEGERI 77,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 78,IPA,157
Jakarta,2016,Dalam,2,SMA NEGERI 78,IPS,37
Jakarta,2016,Dalam,2,SMA NEGERI 78,BAHASA,19
Jakarta,2016,Dalam,2,SMA NEGERI 79,IPA,81
Jakarta,2016,Dalam,2,SMA NEGERI 79,IPS,82
Jakarta,2016,Dalam,2,SMA NEGERI 80,IPA,98
Jakarta,2016,Dalam,2,SMA NEGERI 80,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 81,IPA,118
Jakarta,2016,Dalam,2,SMA NEGERI 81,IPS,39
Jakarta,2016,Dalam,2,SMA NEGERI 82,IPA,65
Jakarta,2016,Dalam,2,SMA NEGERI 82,IPS,46
Jakarta,2016,Dalam,2,SMA NEGERI 83,IPA,39
Jakarta,2016,Dalam,2,SMA NEGERI 83,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 84,IPA,58
Jakarta,2016,Dalam,2,SMA NEGERI 84,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 84,BAHASA,20
Jakarta,2016,Dalam,2,SMA NEGERI 85,IPA,83
Jakarta,2016,Dalam,2,SMA NEGERI 85,IPS,57
Jakarta,2016,Dalam,2,SMA NEGERI 86,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 86,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 87,IPA,62
Jakarta,2016,Dalam,2,SMA NEGERI 87,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 88,IPA,41
Jakarta,2016,Dalam,2,SMA NEGERI 88,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 89,IPA,58
Jakarta,2016,Dalam,2,SMA NEGERI 89,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 90,IPA,99
Jakarta,2016,Dalam,2,SMA NEGERI 90,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 91,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 91,IPS,56
Jakarta,2016,Dalam,2,SMA NEGERI 92,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 92,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 92,BAHASA,21
Jakarta,2016,Dalam,2,SMA NEGERI 93,IPA,69
Jakarta,2016,Dalam,2,SMA NEGERI 93,IPS,45
Jakarta,2016,Dalam,2,SMA NEGERI 94,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 94,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 95,IPA,77
Jakarta,2016,Dalam,2,SMA NEGERI 95,IPS,80
Jakarta,2016,Dalam,2,SMA NEGERI 95,BAHASA,19
Jakarta,2016,Dalam,2,SMA NEGERI 96,IPA,45
Jakarta,2016,Dalam,2,SMA NEGERI 96,IPS,97
Jakarta,2016,Dalam,2,SMA NEGERI 97,IPA,58
Jakarta,2016,Dalam,2,SMA NEGERI 97,IPS,116
Jakarta,2016,Dalam,2,SMA NEGERI 98,IPA,102
Jakarta,2016,Dalam,2,SMA NEGERI 98,IPS,94
Jakarta,2016,Dalam,2,SMA NEGERI 99,IPA,117
Jakarta,2016,Dalam,2,SMA NEGERI 99,IPS,80
Jakarta,2016,Dalam,2,SMA NEGERI 100,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 100,IPS,55
Jakarta,2016,Dalam,2,SMA NEGERI 101,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 101,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 102,IPA,83
Jakarta,2016,Dalam,2,SMA NEGERI 102,IPS,81
Jakarta,2016,Dalam,2,SMA NEGERI 103,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 103,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 104,IPA,99
Jakarta,2016,Dalam,2,SMA NEGERI 104,IPS,55
Jakarta,2016,Dalam,2,SMA NEGERI 105,IPA,78
Jakarta,2016,Dalam,2,SMA NEGERI 105,IPS,59
Jakarta,2016,Dalam,2,SMA NEGERI 106,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 106,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 107,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 107,IPS,82
Jakarta,2016,Dalam,2,SMA NEGERI 108,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 108,IPS,38
Jakarta,2016,Dalam,2,SMA NEGERI 109,IPA,81
Jakarta,2016,Dalam,2,SMA NEGERI 109,IPS,59
Jakarta,2016,Dalam,2,SMA NEGERI 110,IPA,41
Jakarta,2016,Dalam,2,SMA NEGERI 110,IPS,103
Jakarta,2016,Dalam,2,SMA NEGERI 110,BAHASA,20
Jakarta,2016,Dalam,2,SMA NEGERI 111,IPA,39
Jakarta,2016,Dalam,2,SMA NEGERI 111,IPS,63
Jakarta,2016,Dalam,2,SMA NEGERI 112,IPA,99
Jakarta,2016,Dalam,2,SMA NEGERI 112,IPS,37
Jakarta,2016,Dalam,2,SMA NEGERI 113,IPA,95
Jakarta,2016,Dalam,2,SMA NEGERI 113,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 113,BAHASA,19
Jakarta,2016,Dalam,2,SMA NEGERI 114,IPA,42
Jakarta,2016,Dalam,2,SMA NEGERI 114,IPS,86
Jakarta,2016,Dalam,2,SMA NEGERI 115,IPA,63
Jakarta,2016,Dalam,2,SMA NEGERI 115,IPS,61
