Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2017,Dalam,1,SMAN 17,IPA,22
Jakarta,2017,Dalam,1,SMAN 17,IPS,34
Jakarta,2017,Dalam,1,SMAN 18,IPA,37
Jakarta,2017,Dalam,1,SMAN 18,IPS,37
Jakarta,2017,Dalam,1,SMAN 18,BAHASA,12
Jakarta,2017,Dalam,1,SMAN 19,IPA,37
Jakarta,2017,Dalam,1,SMAN 19,IPS,37
Jakarta,2017,Dalam,1,SMAN 20,IPA,25
Jakarta,2017,Dalam,1,SMAN 20,IPS,37
Jakarta,2017,Dalam,1,SMAN 21,IPA,51
Jakarta,2017,Dalam,1,SMAN 21,IPS,50
Jakarta,2017,Dalam,1,SMAN 22,IPA,50
Jakarta,2017,Dalam,1,SMAN 22,IPS,49
Jakarta,2017,Dalam,1,SMAN 23,IPA,48
Jakarta,2017,Dalam,1,SMAN 23,IPS,49
Jakarta,2017,Dalam,1,SMAN 24,IPA,36
Jakarta,2017,Dalam,1,SMAN 24,IPS,23
Jakarta,2017,Dalam,1,SMAN 25,IPA,25
Jakarta,2017,Dalam,1,SMAN 25,IPS,36
Jakarta,2017,Dalam,1,SMAN 26,IPA,41
Jakarta,2017,Dalam,1,SMAN 26,IPS,41
Jakarta,2017,Dalam,1,SMAN 27,IPA,47
Jakarta,2017,Dalam,1,SMAN 27,IPS,62
Jakarta,2017,Dalam,1,SMAN 28,IPA,64
Jakarta,2017,Dalam,1,SMAN 28,IPS,27
Jakarta,2017,Dalam,1,SMAN 29,IPA,49
Jakarta,2017,Dalam,1,SMAN 29,IPS,36
Jakarta,2017,Dalam,1,SMAN 30,IPA,62
Jakarta,2017,Dalam,1,SMAN 30,IPS,61
Jakarta,2017,Dalam,1,SMAN 31,IPA,49
Jakarta,2017,Dalam,1,SMAN 31,IPS,49
Jakarta,2017,Dalam,1,SMAN 31,BAHASA,12
Jakarta,2017,Dalam,1,SMAN 32,IPA,49
Jakarta,2017,Dalam,1,SMAN 32,IPS,42
Jakarta,2017,Dalam,1,SMAN 33,IPA,50
Jakarta,2017,Dalam,1,SMAN 33,IPS,38
Jakarta,2017,Dalam,1,SMAN 33,BAHASA,13
