Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Indikator,Nilai
Jakarta,2018,Dalam,2,SMAN 19,IPS,Terendah,71.38
Jakarta,2018,Dalam,2,SMAN 19,IPS,Tertinggi,80.88
Jakarta,2018,Dalam,2,SMAN 19,IPS,Rata-rata,74.48
Jakarta,2018,Dalam,2,SMAN 20,IPA,Terendah,61.88
Jakarta,2018,Dalam,2,SMAN 20,IPA,Tertinggi,73.88
Jakarta,2018,Dalam,2,SMAN 20,IPA,Rata-rata,63.23
Jakarta,2018,Dalam,2,SMAN 20,IPS,Terendah,61.25
Jakarta,2018,Dalam,2,SMAN 20,IPS,Tertinggi,76.75
Jakarta,2018,Dalam,2,SMAN 20,IPS,Rata-rata,62.65
Jakarta,2018,Dalam,2,SMAN 21,IPA,Terendah,84.25
Jakarta,2018,Dalam,2,SMAN 21,IPA,Tertinggi,93.13
Jakarta,2018,Dalam,2,SMAN 21,IPA,Rata-rata,86.2
Jakarta,2018,Dalam,2,SMAN 21,IPS,Terendah,77.13
Jakarta,2018,Dalam,2,SMAN 21,IPS,Tertinggi,87
Jakarta,2018,Dalam,2,SMAN 21,IPS,Rata-rata,80.33
Jakarta,2018,Dalam,2,SMAN 22,IPA,Terendah,65
Jakarta,2018,Dalam,2,SMAN 22,IPA,Tertinggi,69.5
Jakarta,2018,Dalam,2,SMAN 22,IPA,Rata-rata,66.11
Jakarta,2018,Dalam,2,SMAN 22,IPS,Terendah,65
Jakarta,2018,Dalam,2,SMAN 22,IPS,Tertinggi,70.13
Jakarta,2018,Dalam,2,SMAN 22,IPS,Rata-rata,66.08
Jakarta,2018,Dalam,2,SMAN 23,IPA,Terendah,63.38
Jakarta,2018,Dalam,2,SMAN 23,IPA,Tertinggi,77.88
Jakarta,2018,Dalam,2,SMAN 23,IPA,Rata-rata,67.86
Jakarta,2018,Dalam,2,SMAN 23,IPS,Terendah,62.88
Jakarta,2018,Dalam,2,SMAN 23,IPS,Tertinggi,71.25
Jakarta,2018,Dalam,2,SMAN 23,IPS,Rata-rata,64.59
Jakarta,2018,Dalam,2,SMAN 24,IPA,Terendah,64.88
Jakarta,2018,Dalam,2,SMAN 24,IPA,Tertinggi,77.13
Jakarta,2018,Dalam,2,SMAN 24,IPA,Rata-rata,67.01
Jakarta,2018,Dalam,2,SMAN 24,IPS,Terendah,64.5
Jakarta,2018,Dalam,2,SMAN 24,IPS,Tertinggi,67.88
Jakarta,2018,Dalam,2,SMAN 24,IPS,Rata-rata,65.41
Jakarta,2018,Dalam,2,SMAN 25,IPA,Terendah,62.38
Jakarta,2018,Dalam,2,SMAN 25,IPA,Tertinggi,73
Jakarta,2018,Dalam,2,SMAN 25,IPA,Rata-rata,64.52
Jakarta,2018,Dalam,2,SMAN 25,IPS,Terendah,61.75
Jakarta,2018,Dalam,2,SMAN 25,IPS,Tertinggi,66.75
Jakarta,2018,Dalam,2,SMAN 25,IPS,Rata-rata,62.37
Jakarta,2018,Dalam,2,SMAN 26,IPA,Terendah,84.88
Jakarta,2018,Dalam,2,SMAN 26,IPA,Tertinggi,90.38
Jakarta,2018,Dalam,2,SMAN 26,IPA,Rata-rata,86.84
Jakarta,2018,Dalam,2,SMAN 26,IPS,Terendah,79.5
Jakarta,2018,Dalam,2,SMAN 26,IPS,Tertinggi,86.38
Jakarta,2018,Dalam,2,SMAN 26,IPS,Rata-rata,82.62
Jakarta,2018,Dalam,2,SMAN 27,IPA,Terendah,63.5
Jakarta,2018,Dalam,2,SMAN 27,IPA,Tertinggi,76.25
Jakarta,2018,Dalam,2,SMAN 27,IPA,Rata-rata,65.75
Jakarta,2018,Dalam,2,SMAN 27,IPS,Terendah,63.25
Jakarta,2018,Dalam,2,SMAN 27,IPS,Tertinggi,69
Jakarta,2018,Dalam,2,SMAN 27,IPS,Rata-rata,64.76
Jakarta,2018,Dalam,2,SMAN 28,IPA,Terendah,89.38
Jakarta,2018,Dalam,2,SMAN 28,IPA,Tertinggi,95
Jakarta,2018,Dalam,2,SMAN 28,IPA,Rata-rata,91.2
Jakarta,2018,Dalam,2,SMAN 28,IPS,Terendah,86.75
Jakarta,2018,Dalam,2,SMAN 28,IPS,Tertinggi,90.63
Jakarta,2018,Dalam,2,SMAN 28,IPS,Rata-rata,87.99
Jakarta,2018,Dalam,2,SMAN 29,IPA,Terendah,69
Jakarta,2018,Dalam,2,SMAN 29,IPA,Tertinggi,86.38
Jakarta,2018,Dalam,2,SMAN 29,IPA,Rata-rata,73.56
Jakarta,2018,Dalam,2,SMAN 29,IPS,Terendah,68.25
Jakarta,2018,Dalam,2,SMAN 29,IPS,Tertinggi,75.25
Jakarta,2018,Dalam,2,SMAN 29,IPS,Rata-rata,70.6
Jakarta,2018,Dalam,2,SMAN 30,IPA,Terendah,66.13
Jakarta,2018,Dalam,2,SMAN 30,IPA,Tertinggi,84.25
Jakarta,2018,Dalam,2,SMAN 30,IPA,Rata-rata,70.66
Jakarta,2018,Dalam,2,SMAN 30,IPS,Terendah,65.13
Jakarta,2018,Dalam,2,SMAN 30,IPS,Tertinggi,74.25
Jakarta,2018,Dalam,2,SMAN 30,IPS,Rata-rata,67.76
Jakarta,2018,Dalam,2,SMAN 31,IPA,Terendah,67.88
Jakarta,2018,Dalam,2,SMAN 31,IPA,Tertinggi,85.75
