Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPA,Pilihan 2,123
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPA,Pilihan 3,91
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPS,Pilihan 1,75
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPS,Pilihan 2,123
Jakarta,Dalam,2018,1,SMA NEGERI 19,IPS,Pilihan 3,91
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPA,Pilihan 1,81
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPA,Pilihan 2,69
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPA,Pilihan 3,82
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPS,Pilihan 1,81
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPS,Pilihan 2,69
Jakarta,Dalam,2018,1,SMA NEGERI 20,IPS,Pilihan 3,82
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPA,Pilihan 1,225
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPA,Pilihan 2,66
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPA,Pilihan 3,28
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPS,Pilihan 1,225
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPS,Pilihan 2,66
Jakarta,Dalam,2018,1,SMA NEGERI 21,IPS,Pilihan 3,28
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPA,Pilihan 1,130
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPA,Pilihan 2,138
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPA,Pilihan 3,153
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPS,Pilihan 1,130
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPS,Pilihan 2,138
Jakarta,Dalam,2018,1,SMA NEGERI 22,IPS,Pilihan 3,153
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPA,Pilihan 1,92
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPA,Pilihan 2,89
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPA,Pilihan 3,54
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPS,Pilihan 1,92
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPS,Pilihan 2,89
Jakarta,Dalam,2018,1,SMA NEGERI 23,IPS,Pilihan 3,54
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPA,Pilihan 1,93
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPA,Pilihan 2,120
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPA,Pilihan 3,151
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPS,Pilihan 1,93
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPS,Pilihan 2,120
Jakarta,Dalam,2018,1,SMA NEGERI 24,IPS,Pilihan 3,151
Jakarta,Dalam,2018,1,SMA NEGERI 25,IPA,Pilihan 1,74
