Nomor,Tahun,Daerah,,Persentase Suara (%),No Pasangan,Jabatan,Nama,,Jumlah Suara,Persentase Suara (%),,wakil,,,,,
21,2018,Kabupaten Gianyar,Menang,67.04,2,Bupati,"I Made Mahayastra, Sst.Par., Map.",Menang,192533,67.04,Menang,FALSE,1,Menang,Menang,,
22,2018,Kabupaten Klungkung,,23.94,1,Bupati,Tjokorda Bagus Oka,,29173,23.94,,FALSE,0,,,,
22,2018,Kabupaten Klungkung,Menang,76.06,2,Bupati,I Nyoman Suwirta,Menang,92699,76.06,Menang,FALSE,1,Menang,Menang,,
23,2018,Kota Serang,,30.08,1,Walikota,Vera Nurlaela,,24341,30.08,Menang,FALSE,0,Menang,Menang,,
23,2018,Kota Serang,,26.87,2,Walikota,"Samsul Hidayat, S.Pd.I",,21743,26.87,,FALSE,1,,,,
23,2018,Kota Serang,Menang,43.04,3,Walikota,"H. Syafrudin, S.Sos, M.Si",Menang,34828,43.04,Menang,FALSE,1,Menang,Menang,,
24,2018,Kota Tangerang,Menang,85.58,1,Walikota,H. Arief R Wismansyah,Menang,604108,85.58,Menang,FALSE,0,Menang,Menang,,
25,2018,Kabupaten Lebak,,76.99,1,Bupati,"Hj. Iti Octavia Jayabaya, Se., Mm",,453299,76.99,,FALSE,0,,,,
26,2018,Kabupaten Tangerang,Menang,83.73,1,Bupati,"Ahmed Zaki Iskandar Z, B.Bus,Se,M.Si",Menang,941111,83.73,Menang,FALSE,0,Menang,Menang,,
27,2018,Kota Bengkulu,,22.3,1,Walikota,David Suardi,,29688,22.3,Menang,FALSE,0,Menang,Menang,,
27,2018,Kota Bengkulu,,17.05,2,Walikota,"Hj. Erna Sari Dewi, S.E",,22699,17.05,,FALSE,1,,,,
27,2018,Kota Bengkulu,Menang,33.24,3,Walikota,"H. Helmi, S.E.",Menang,44254,33.24,Menang,FALSE,1,Menang,Menang,,
27,2018,Kota Bengkulu,,27.42,4,Walikota,Ir. Patriana Sosialinda,,36506,27.42,,FALSE,1,,,,
28,2018,Kabupaten Gorontalo Utara,Menang,43.54,1,Bupati,"Dr. H. Indra Yasin, Sh., Mh",Menang,31391,43.54,Menang,FALSE,0,Menang,Menang,,
28,2018,Kabupaten Gorontalo Utara,,24.27,2,Bupati,"H. Idrus M.T. Mopili, Se., Mm",,17502,24.27,,FALSE,1,,,,
28,2018,Kabupaten Gorontalo Utara,,32.19,3,Bupati,Drs. H. Roni Imran,,23208,32.19,Menang,FALSE,1,Menang,Menang,,
29,2018,Kota Gorontalo,,36.05,1,Walikota,"H. Adhan Dambea, Sh, S.Sos, Ma",,37032,36.05,,FALSE,0,,,,
29,2018,Kota Gorontalo,Menang,41.28,2,Walikota,"H. Marten A. Taha, Se., M.Ec Dev",Menang,42399,41.28,Menang,FALSE,1,Menang,Menang,,
29,2018,Kota Gorontalo,,22.67,3,Walikota,Drs. H. Rum Pagau,,23282,22.67,,FALSE,1,,,,
30,2018,Kabupaten Kerinci,,28.84,1,Bupati,"Monadi, S.Sos, M.Si",,42686,28.84,,FALSE,0,,,,
