nama_kantor,wilayah_administrasi,kecamatan,kelurahan,alamat_kantor,latitude,longitude,telepon,faxsimile
Kantor Lurah Halim PK,Jakarta Timur,Kec. Makasar,Kel. Halim PK,Jl. Squadron No. 1A,-6.267795,106.877706,021 8093744,021 8093744
Kantor Lurah Kebon Pala,Jakarta Timur,Kec. Makasar,Kel. Kebon Pala,Jl. Jengki Cipinang Asem No.11 RT.011/04 ,-6.25773,106.879204,021 8006059,021 8007677
Kantor Lurah Makasar,Jakarta Timur,Kec. Makasar,Kel. Makasar,Jalan Gelanggang Olahraga Remaja RT 011 RW 06 ,-6.280352,106.876475,021 8093440,021 8005638
Kantor Lurah Pinang Ranti,Jakarta Timur,Kec. Makasar,Kel. Pinang Ranti,Jl. SMA 48 RT.014 RW.01,-6.287579,106.881298,021 8001403,021 8001403
Kantor Camat Ciracas,Jakarta Timur,Kec. Ciracas,Kel. Ciracas,Jl. Penganten Ali No. 9,-6.320049,106.88333,021 8401308,021 8401308
Kantor Lurah Susukan ,Jakarta Timur,Kec. Ciracas,Kel. Susukan,Jl. H. Baping RT. 010 RW. 06,-6.312591,106.874923,021 8400134,021 8400134
Kantor Lurah Rambutan,Jakarta Timur,Kec. Ciracas,Kel. Rambutan,Jl.Gudang Air No.36 RT.014/02,-6.301937,106.872058,021 87790004,021 87790008
Kantor Lurah Kelapa Dua Wetan,Jakarta Timur,Kec. Ciracas,Kel. Kelapa Dua Wetan,JL. Raya PKP No. 1 RT. 001/08,-6.33942,106.882052,021 8705270,021 8705270
Kantor Lurah Ciracas,Jakarta Timur,Kec. Ciracas,Kel. Ciracas,Jl. Raya Ciracas RT. 07 RW. 03 ,-6.328096,106.877884,021 8710996,021 8710996
Kantor Lurah Cibubur,Jakarta Timur,Kec. Ciracas,Kel. Cibubur,Jl. Lap. Tembak RT.05 RW.02 No.1,-6.349904,106.876481,021 8710994,021 8710994
Kantor Camat Cipayung,Jakarta Timur,Kec. Cipayung,Kel. Cipayung,Jl. Bina Marga No. 2 RT.006/02,-6.32872,106.888513,021 8444659,021 8444636
Kantor Lurah Lubang Buaya,Jakarta Timur,Kec. Cipayung,Kel. Lubang Buaya,Jl. SPG 7 RT.006/09,-6.289406,106.904153,021 8411734,021 87780476
Kantor Lurah Bambu Apus,Jakarta Timur,Kec. Cipayung,Kel. Bambu Apus,Jl. Mini III RT. 012 RW. 03,-6.305784,106.906946,021 84978679,021 84978679
Kantor Lurah Setu,Jakarta Timur,Kec. Cipayung,Kel. Setu,Jl. Raya Setu RT.005/01,-6.309277,106.914854,021 8465328,021 84978580
Kantor Lurah Cipayung,Jakarta Timur,Kec. Cipayung,Kel. Cipayung,Jl. Bambu Hitam No. 108 RT.010 RW.04 ,-6.324648,106.899462,021 8451678,021 84303987
Kantor Lurah Cilangkap,Jakarta Timur,Kec. Cipayung,Kel. Cilangkap,Jl. Raya As-Syafiiyah RT. 003 RW. 03 ,-6.332411,106.903258,021 84596168,021 84596168
Kantor Lurah Munjul,Jakarta Timur,Kec. Cipayung,Kel. Munjul,Jalan Buni RT.001/04 ,-6.348482,106.893877,021 8451676,021 8451676
Kantor Lurah Pondok Ranggon,Jakarta Timur,Kec. Cipayung,Kel. Pondok Ranggon,Jl. Pondok Ranggon No.1 RT.001/04,-6.347936,106.914423,021 8444085,021 84592671
Kantor Lurah Ceger,Jakarta Timur,Kec. Cipayung,Kel. Ceger,Jl. SMPN 160 Ceger,-6.314432,106.889467,021 8444971,021 8444971
Kantor Bupati Kepulauan Seribu,Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Kel. Pulau Panggang,Jalan Ikan Baracuda No.14 Pulau Pramuka,-5.746724,106.613155,021 6408452,021 6408452
Kantor Camat Kepulauan Seribu Utara,Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Kel. Pulau Kelapa,Jl. Dermaga Perhubungan No. 1,-5.656511,106.573707,021 33274838,021 33274838
Kantor Lurah Pulau Harapan,Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Kel. Pulau Harapan,Jalan Dermaga Utara Pulau Harapan RT.001/02,-5.6526,106.578022,021 70761391,
Kantor Lurah Pulau Kelapa,Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Kel. Pulau Kelapa,Jalan Dermaga Dinas Perhubungan No.1,-5.656511,106.573707,021 33274838,021 33274838
Kantor Lurah Pulau Panggang,Kepulauan Seribu,Kec. Kepulauan Seribu Utara,Kel. Pulau Panggang,Jl. Makam Keramat Timur RT.007/03 ,-5.741208,106.603159,,
Kantor Camat Kepulauan Seribu Selatan,Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,Kel. Pulau Tidung,Jl. Pulau Tidung Besar ,-5.796551,106.493151,021 5409026,
Kantor Lurah Pulau Tidung,Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,Kel. Pulau Tidung,Jl. Pulau Tidung Besar,-5.795517,106.496204,021 70713892,021 5402268
Kantor Lurah Pulau Pari,Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,Kel. Pulau Pari,Jl. Pulau Lancang Besar RT 003/03,-5.929255,106.585435,,
Kantor Lurah Pulau Untung Jawa,Kepulauan Seribu,Kec. Kepulauan Seribu Selatan,Kel. Pulau Untung Jawa,Jl. Bougenville,-5.978518,106.704003,021 68680771,021 70763093
